4807	8
4808	22
4809	25
4810	56
4811	40
4812	74
4813	67
4814	92
4815	49
4816	84
4817	70
4818	58
4819	122
4820	60
4821	6
4822	146
4823	107
4824	153
4825	155
4826	152
4827	2
4828	164
4829	174
4830	177
4831	45
4832	197
4833	198
4834	205
4835	175
4836	97
4837	219
4838	61
4839	1
4840	241
4841	65
4842	248
4843	21
4844	116
4845	57
4846	265
4847	203
4848	278
4849	111
4850	162
4851	273
4852	54
4853	150
4854	313
4855	123
4856	75
4857	159
4858	276
4859	102
4860	48
4861	77
4862	128
4863	199
4864	279
4865	404
4866	262
4867	409
4868	457
4869	465
4870	477
4871	476
4872	20
4873	497
4874	461
4875	389
4876	521
4877	518
4878	531
4879	536
4880	342
4881	554
4882	82
4883	567
4884	597
4885	508
4886	571
4887	661
4888	674
4889	650
4890	719
4891	653
4892	737
4893	537
4894	779
4895	812
4896	665
4897	822
4898	832
4899	838
4900	840
4901	753
4902	769
4903	66
4904	814
4905	850
4906	821
4907	883
4908	886
4909	39
4910	714
4911	229
4912	907
4913	912
4914	125
4915	951
4916	32
4917	966
4918	971
4919	630
4920	987
4921	581
4922	1016
4923	1017
4924	104
4925	1135
4926	1150
4927	515
4928	1157
4929	1155
4930	1183
4931	1184
4932	1221
4933	1225
4934	1226
4935	1244
4936	1249
4937	1288
4938	106
4939	1114
4940	1329
4941	711
4942	1364
4943	1372
4944	1369
4945	1366
4946	743
4947	1457
4948	1428
4949	1190
4950	530
4951	1007
4952	1590
4953	1594
4954	1634
4955	1675
4956	1024
4957	1715
4958	1736
4959	1734
4960	1744
4961	1748
4962	1751
4963	1552
4964	1771
4965	1762
4966	1806
4967	595
4968	1812
4969	1850
4970	1859
4971	1861
4972	1111
4973	1641
4974	1924
4975	1873
4976	1948
4977	1921
4978	415
4979	1996
4980	1807
4981	2001
4982	1994
4983	2016
4984	1997
4985	543
4986	2030
4987	2040
4988	2045
4989	672
4990	2052
4991	2090
4992	2094
4993	2081
4994	1466
4995	1452
4996	2086
4997	2208
4998	1885
4999	2198
5000	652
5001	2307
5002	2336
5003	2243
5004	352
5005	2402
5006	2335
5007	984
5008	2092
5009	2437
5010	2473
5011	2292
5012	2478
5013	2503
5014	1633
5015	2537
5016	376
5017	2568
5018	2607
5019	2624
5020	3630
5021	3634
5022	2426
5023	3640
5024	1285
5025	3646
5026	2623
5027	3669
5028	2618
5029	15
5030	3717
5031	2028
5032	3665
5033	3709
5034	3792
5035	3671
5036	3829
5037	3838
5038	3836
5039	3820
5040	3863
5041	3876
5042	3887
5043	3894
5044	3891
5045	3902
5046	3841
5047	2166
5048	1801
5049	3995
5050	4016
5051	4043
5052	4057
5053	586
5054	1410
5055	3980
5056	3867
5057	4118
5058	4136
5059	4168
5060	3987
5061	1175
5062	540
5063	4193
5064	4199
5065	4209
5066	4224
5067	4245
5068	4294
5069	4306
5070	4318
5071	4395
5072	4399
5073	4478
5074	4412
5075	4504
5076	1802
5077	4466
5078	4476
5079	4523
5080	2187
5081	180
5082	4599
5083	4618
5084	2601
5085	2156
5086	4713
5087	4725
5088	4706
5089	4743
5090	4755
5091	4766
5092	4778
5093	4331
5094	4810
5095	2352
5096	4871
5097	4873
5098	4883
5099	4884
5100	4905
5101	4955
5102	4958
5103	4968
5104	4841
5105	5055
5106	5056
5107	5001
5108	4966
5109	5077
5110	5085
5111	5223
5112	4896
5113	664
5114	5258
5115	5262
5116	425
