CHAWE-- user OID-30: reputation-22647, upvote-104, downvote-9.
CHAWE-- user OID-418: reputation-42272, upvote-218, downvote-34.
HAWE-- user OID-7448: reputation-9828, upvote-1254, downvote-95.
HAWE-- user OID-4945: reputation-40596, upvote-1346, downvote-158.
HAWE-- user OID-275: reputation-40329, upvote-213, downvote-2.
HAWE-- user OID-41328: reputation-32749, upvote-754, downvote-80.
HAWE-- user OID-16683: reputation-58809, upvote-614, downvote-110.
hin2vec-- user OID-344: reputation-193, upvote-6, downvote-0.
hin2vec-- user OID-12660: reputation-5347, upvote-1, downvote-0.
hin2vec-- user OID-10: reputation-533, upvote-18, downvote-0.
hin2vec-- user OID-162: reputation-1, upvote-0, downvote-0.
hin2vec-- user OID-13294: reputation-761, upvote-41, downvote-0.
node2bits-- user OID-73: reputation-2895, upvote-482, downvote-38.
node2bits-- user OID-10185: reputation-14374, upvote-154, downvote-11.
node2bits-- user OID-5633: reputation-9912, upvote-6, downvote-0.
node2bits-- user OID-7448: reputation-9828, upvote-1254, downvote-95.
node2bits-- user OID-7475: reputation-60880, upvote-682, downvote-48.
deepWalk-- user OID-15208: reputation-453, upvote-37, downvote-61.
deepWalk-- user OID-4805: reputation-2580, upvote-0, downvote-0.
deepWalk-- user OID-83: reputation-3594, upvote-1, downvote-0.
deepWalk-- user OID-35928: reputation-1335, upvote-1, downvote-0.
deepWalk-- user OID-13357: reputation-1034, upvote-37, downvote-0.
struc2vec-- user OID-11367: reputation-16479, upvote-385, downvote-6.
struc2vec-- user OID-7448: reputation-9828, upvote-1254, downvote-95.
struc2vec-- user OID-73: reputation-2895, upvote-482, downvote-38.
struc2vec-- user OID-7475: reputation-60880, upvote-682, downvote-48.
struc2vec-- user OID-16683: reputation-58809, upvote-614, downvote-110.

Target user OID-84: reputation-10454, upvote-7, downvote-0.
CHAWE-- user OID-113: reputation-101, upvote-3, downvote-1.
CHAWE-- user OID-5633: reputation-9912, upvote-6, downvote-0.
CHAWE-- user OID-1499: reputation-24809, upvote-144, downvote-0.
CHAWE-- user OID-25: reputation-1480, upvote-34, downvote-5.
CHAWE-- user OID-9757: reputation-4456, upvote-133, downvote-2.
HAWE-- user OID--1: reputation-1, upvote-13, downvote-26.
HAWE-- user OID-186: reputation-18061, upvote-102, downvote-4.
HAWE-- user OID-194: reputation-7141, upvote-223, downvote-19.
HAWE-- user OID-1573: reputation-6370, upvote-12, downvote-0.
HAWE-- user OID-69830: reputation-16674, upvote-216, downvote-14.
hin2vec-- user OID-328: reputation-325, upvote-1, downvote-1.
hin2vec-- user OID-51553: reputation-4710, upvote-45, downvote-19.
hin2vec-- user OID-35555: reputation-16215, upvote-13, downvote-0.
hin2vec-- user OID-19383: reputation-28156, upvote-19, downvote-1.
hin2vec-- user OID-4325: reputation-9997, upvote-32, downvote-6.
node2bits-- user OID-15133: reputation-1442, upvote-25, downvote-0.
node2bits-- user OID-42741: reputation-8118, upvote-325, downvote-40.
node2bits-- user OID-186: reputation-18061, upvote-102, downvote-4.
node2bits-- user OID-12: reputation-2184, upvote-6, downvote-0.
node2bits-- user OID-1295: reputation-101, upvote-7, downvote-0.
deepWalk-- user OID-4148: reputation-637, upvote-4, downvote-0.
deepWalk-- user OID-41961: reputation-582, upvote-0, downvote-0.
deepWalk-- user OID-6987: reputation-327, upvote-0, downvote-0.
deepWalk-- user OID-74926: reputation-1, upvote-0, downvote-0.
deepWalk-- user OID-27526: reputation-181, upvote-1, downvote-0.
struc2vec-- user OID-16622: reputation-8530, upvote-171, downvote-12.
struc2vec-- user OID-5633: reputation-9912, upvote-6, downvote-0.
